"Cod.Cliente","Nome Cliente","Cidade","Estado"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"59004","SENDAS DISTRIBUIDORA S/A","JEQUIE","BA"
"59004","SENDAS DISTRIBUIDORA S/A","JEQUIE","BA"
"76651","SENDAS DISTRIBUIDORA S.A","SALVADOR","BA"
"76952","ATAKAREJO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS S.A","ITABUNA","BA"
"79885","SENDAS DISTRIBUIDORA S.A","CARAGUATATUBA","SP"
"78821","JP DE MENECH LTDA","BALNEARIO CAMBORIU","SC"
"78821","JP DE MENECH LTDA","BALNEARIO CAMBORIU","SC"
"79225","SUPERMERCADOS MAMBO LTDA","SAO PAULO","SP"
"79225","SUPERMERCADOS MAMBO LTDA","SAO PAULO","SP"
"79225","SUPERMERCADOS MAMBO LTDA","SAO PAULO","SP"
"78668","SUPERMERCADO RIO SUL DE AUSTIN LTDA","NOVA IGUACU","RJ"
"78668","SUPERMERCADO RIO SUL DE AUSTIN LTDA","NOVA IGUACU","RJ"
"78668","SUPERMERCADO RIO SUL DE AUSTIN LTDA","NOVA IGUACU","RJ"
"78668","SUPERMERCADO RIO SUL DE AUSTIN LTDA","NOVA IGUACU","RJ"
"78668","SUPERMERCADO RIO SUL DE AUSTIN LTDA","NOVA IGUACU","RJ"
"73669","MERCANTIL NOVA ERA LTDA","BOA VISTA","RR"
"73669","MERCANTIL NOVA ERA LTDA","BOA VISTA","RR"
"73669","MERCANTIL NOVA ERA LTDA","BOA VISTA","RR"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"29721","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"69982","COMPANHIA BRASILEIRA DE DISTRIBUICAO","RIO DE JANEIRO","RJ"
